viewpoint_id,source_experiment,source_file,source_grid_stage,raw_360_ranges_persisted,scan_source_type,forward_ratio_W,lateral_ratio_W,forward_displacement,lateral_displacement,world_x_reconstructed,world_y_reconstructed,yaw_deg_reconstructed,source_candidate_valid,source_straight_line_path_clear_eval,viewpoint_geometry_valid,movement_feasibility_proven,inside_consistent,footprint_consistent,viewpoint_validity_consistent,local_transform_roundtrip_error,saved_hit_count,reconstructed_hit_count,saved_max_range_count,reconstructed_max_range_count,saved_opening_count,reconstructed_opening_count,scan_summary_consistent
F+0.200_L-0.500,EXP-030,/Users/gaheeyang/Projects/PDFS-Multi-Robot/junction_detection/integration/output/2d_viewpoint_visibility_frontier/viewpoint_grid.csv,COARSE_0.10W,False,DETERMINISTIC_POSE_RECONSTRUCTION,0.2,-0.5,16.8,-42.0,40.237945796943535,-135.9488497702722,90.0,True,True,True,False,True,True,True,1.6653345369377348e-16,283,283,77,77,2,2,True
F+0.200_L-0.400,EXP-030,/Users/gaheeyang/Projects/PDFS-Multi-Robot/junction_detection/integration/output/2d_viewpoint_visibility_frontier/viewpoint_grid.csv,COARSE_0.10W,False,DETERMINISTIC_POSE_RECONSTRUCTION,0.2,-0.4,16.8,-33.6,31.837945796943536,-135.9488497702722,90.0,True,True,True,False,True,True,True,1.6653345369377348e-16,282,282,78,78,2,2,True
F+0.200_L-0.300,EXP-030,/Users/gaheeyang/Projects/PDFS-Multi-Robot/junction_detection/integration/output/2d_viewpoint_visibility_frontier/viewpoint_grid.csv,COARSE_0.10W,False,DETERMINISTIC_POSE_RECONSTRUCTION,0.2,-0.3,16.8,-25.2,23.437945796943534,-135.9488497702722,90.0,True,True,True,False,True,True,True,1.1102230246251565e-16,281,281,79,79,2,2,True
F+0.200_L-0.200,EXP-030,/Users/gaheeyang/Projects/PDFS-Multi-Robot/junction_detection/integration/output/2d_viewpoint_visibility_frontier/viewpoint_grid.csv,COARSE_0.10W,False,DETERMINISTIC_POSE_RECONSTRUCTION,0.2,-0.2,16.8,-16.8,15.037945796943536,-135.9488497702722,90.0,True,True,True,False,True,True,True,1.1102230246251565e-16,279,279,81,81,2,2,True
F+0.200_L-0.100,EXP-030,/Users/gaheeyang/Projects/PDFS-Multi-Robot/junction_detection/integration/output/2d_viewpoint_visibility_frontier/viewpoint_grid.csv,COARSE_0.10W,False,DETERMINISTIC_POSE_RECONSTRUCTION,0.2,-0.1,16.8,-8.4,6.637945796943535,-135.9488497702722,90.0,True,True,True,False,True,True,True,1.1102230246251565e-16,280,280,80,80,2,2,True
F+0.200_L+0.000,EXP-030,/Users/gaheeyang/Projects/PDFS-Multi-Robot/junction_detection/integration/output/2d_viewpoint_visibility_frontier/viewpoint_grid.csv,COARSE_0.10W,False,DETERMINISTIC_POSE_RECONSTRUCTION,0.2,0.0,16.8,0.0,-1.7620542030564654,-135.9488497702722,90.0,True,True,True,False,True,True,True,1.1102654395004332e-16,280,280,80,80,2,2,True
F+0.200_L+0.100,EXP-030,/Users/gaheeyang/Projects/PDFS-Multi-Robot/junction_detection/integration/output/2d_viewpoint_visibility_frontier/viewpoint_grid.csv,COARSE_0.10W,False,DETERMINISTIC_POSE_RECONSTRUCTION,0.2,0.1,16.8,8.4,-10.162054203056465,-135.9488497702722,90.0,True,True,True,False,True,True,True,1.1102230246251565e-16,279,279,81,81,2,2,True
F+0.200_L+0.200,EXP-030,/Users/gaheeyang/Projects/PDFS-Multi-Robot/junction_detection/integration/output/2d_viewpoint_visibility_frontier/viewpoint_grid.csv,COARSE_0.10W,False,DETERMINISTIC_POSE_RECONSTRUCTION,0.2,0.2,16.8,16.8,-18.562054203056466,-135.9488497702722,90.0,True,True,True,False,True,True,True,1.1102230246251565e-16,281,281,79,79,2,2,True
F+0.200_L+0.300,EXP-030,/Users/gaheeyang/Projects/PDFS-Multi-Robot/junction_detection/integration/output/2d_viewpoint_visibility_frontier/viewpoint_grid.csv,COARSE_0.10W,False,DETERMINISTIC_POSE_RECONSTRUCTION,0.2,0.3,16.8,25.2,-26.962054203056464,-135.9488497702722,90.0,True,True,True,False,True,True,True,1.1102230246251565e-16,281,281,79,79,2,2,True
F+0.200_L+0.400,EXP-030,/Users/gaheeyang/Projects/PDFS-Multi-Robot/junction_detection/integration/output/2d_viewpoint_visibility_frontier/viewpoint_grid.csv,COARSE_0.10W,False,DETERMINISTIC_POSE_RECONSTRUCTION,0.2,0.4,16.8,33.6,-35.362054203056466,-135.9488497702722,90.0,True,True,True,False,True,True,True,8.326672684688674e-17,282,282,78,78,2,2,True
