viewpoint_id,forward_ratio_W,lateral_ratio_W,gap_id,gap_width,gap_width_ratio_W,free_continuation_depth,free_continuation_depth_ratio_W,matched_branch_eval,true_positive_eval,false_positive_eval,center_error_eval,endpoint_error_eval,mouth_overlap_eval
F+0.300_L+0.000,0.3,0.0,0,84.0002276439336,1.0000027100468285,67.57892846448162,0.8045110531485907,INCOMING,True,False,3.146615589101316,3.146615589101316,0.9625403921232283
F+0.300_L+0.100,0.3,0.1,1,84.00171040970712,1.0000203620203227,66.17305421815426,0.7877744549780269,INCOMING,True,False,2.340139327875349,2.340139327875356,0.9721417657276068
F+0.300_L+0.200,0.3,0.2,0,84.01559464532347,1.0001856505395652,65.39157415622407,0.7784711209074293,INCOMING,True,False,3.0016761813205193,3.001676181320512,0.9642723925957764
F+0.300_L+0.300,0.3,0.3,1,84.0000906166248,1.000001078769343,60.61394289696155,0.7215945582971612,INCOMING,True,False,0.32611314688573145,0.32611314688572435,0.9961177048204138
F+0.300_L+0.400,0.3,0.4,1,84.29856432332828,1.0035543371824795,63.06650455856246,0.7507917209352674,INCOMING,True,False,6.132492813996919,6.132492813996919,0.9272527015943515
F+0.400_L-0.500,0.4,-0.5,2,94.39645852297772,1.1237673633687824,81.72721591027795,0.972943046550928,FALSE,False,True,21.993788666108486,21.993788666108486,0.7670062096582276
F+0.400_L-0.400,0.4,-0.4,2,84.10268239666026,1.0012224094840507,69.08863231280534,0.8224837180095874,INCOMING,True,False,2.7647477830646494,2.7647477830646494,0.9671265207686831
F+0.400_L-0.300,0.4,-0.3,2,84.0040946913796,1.0000487463259478,71.5537639293443,0.8518305229683845,INCOMING,True,False,2.285810488710979,2.285810488710979,0.972789296794296
F+0.400_L-0.200,0.4,-0.2,2,84.01550979070562,1.0001846403655432,73.62023160947768,0.8764313286842581,INCOMING,True,False,2.264076914917851,2.264076914917851,0.9730516791416491
F+0.400_L-0.100,0.4,-0.1,0,84.00524036845545,1.0000623853387554,74.34321934562958,0.8850383255432093,INCOMING,True,False,1.7838304670148233,1.7838304670148233,0.9787652477489409
F+0.400_L+0.000,0.4,0.0,0,84.00008791642242,1.0000010466240763,74.24216993812811,0.8838353564062871,INCOMING,True,False,1.4115143228923017,1.4115143228923017,0.9831962756479884
F+0.400_L+0.100,0.4,0.1,1,84.00155042407827,1.0000184574295032,74.56209697846062,0.8876440116483406,INCOMING,True,False,2.3985329370886888,2.3985329370886888,0.9714465634862715
F+0.400_L+0.200,0.4,0.2,0,84.02090494428312,1.000248868384323,72.03318923169756,0.8575379670440186,INCOMING,True,False,1.4238623147230953,1.4238623147231024,0.9830534756122026
F+0.400_L+0.300,0.4,0.3,1,84.20291379565964,1.0024156404245195,71.5520504979567,0.851810124975675,INCOMING,True,False,3.479803256647628,3.479803256647628,0.9586736004754861
F+0.400_L+0.400,0.4,0.4,1,84.0080700174896,1.000096071636781,66.81923885740008,0.7954671292547628,INCOMING,True,False,1.8589822793385196,1.8589822793385196,0.977871384511613
F+0.500_L-0.500,0.5,-0.5,2,90.23977670579691,1.0742830560213918,85.73529212959326,1.020658239638015,FALSE,False,True,18.640363505858396,18.640363505858396,0.7934351769660246
