viewpoint_id,branch_eval,forward_ratio_W,lateral_ratio_W,distance_ratio_W,topology_state,near_boundary_visible_eval,far_opposite_boundary_visible_eval,near_endpoint_error_eval,far_opposite_endpoint_error_eval
F+0.600_L-0.400,RIGHT,0.6,-0.4,0.7211102550927978,PARTIAL_GAP_TOPOLOGY,True,False,3.245526744337402,82.58028262876338
F+0.600_L-0.300,LEFT,0.6,-0.3,0.6708203932499369,PARTIAL_GAP_TOPOLOGY,True,False,5.590700238111738,85.24418637356872
F+0.600_L-0.300,RIGHT,0.6,-0.3,0.6708203932499369,PARTIAL_GAP_TOPOLOGY,True,False,3.96899960692722,83.45222797352753
F+0.600_L-0.200,LEFT,0.6,-0.2,0.6324555320336759,PARTIAL_GAP_TOPOLOGY,True,False,4.950520768568871,84.55219527833822
F+0.600_L-0.200,RIGHT,0.6,-0.2,0.6324555320336759,PARTIAL_GAP_TOPOLOGY,True,False,3.845362076555858,83.308338521968
F+0.600_L-0.100,LEFT,0.6,-0.1,0.6082762530298219,PARTIAL_GAP_TOPOLOGY,True,False,4.028097781215995,83.52045816895637
F+0.600_L-0.100,RIGHT,0.6,-0.1,0.6082762530298219,PARTIAL_GAP_TOPOLOGY,True,False,3.037391120813102,82.31029069179685
F+0.600_L+0.000,LEFT,0.6,0.0,0.6,PARTIAL_GAP_TOPOLOGY,True,False,2.911279778966295,82.1399018744991
F+0.600_L+0.000,RIGHT,0.6,0.0,0.6,PARTIAL_GAP_TOPOLOGY,True,False,3.3549525436445817,82.71782399909283
F+0.600_L+0.100,LEFT,0.6,0.1,0.6082762530298219,PARTIAL_GAP_TOPOLOGY,True,False,3.0807331780284497,82.36755554468272
F+0.600_L+0.100,RIGHT,0.6,0.1,0.6082762530298219,PARTIAL_GAP_TOPOLOGY,True,False,3.1784885927658717,82.49463007351511
F+0.600_L+0.200,LEFT,0.6,0.2,0.6324555320336759,PARTIAL_GAP_TOPOLOGY,True,False,4.351588479952156,83.88859837807837
F+0.600_L+0.200,RIGHT,0.6,0.2,0.6324555320336759,PARTIAL_GAP_TOPOLOGY,True,False,4.776752169580198,84.3616090555257
F+0.600_L+0.300,LEFT,0.6,0.3,0.6708203932499369,PARTIAL_GAP_TOPOLOGY,True,False,3.124907065978255,82.42531860059525
