frame,time,map_case,left_wall_range,right_wall_range,width_observation,estimated_corridor_width,estimated_offset,corridor_model_initialized,corridor_model_update_enabled,corridor_model_frozen,opening_candidate_count,opening_group_count,junction_detected,opening_groups_json,leader_speed,lidar_x_eval,lidar_y_eval,GT_corridor_width_eval_only,GT_phase_eval_only,GT_opening_within_sensor_range_eval_only,profile_max_error,nan_inf_state_count
444,7.416666666666646,M0_STRAIGHT,40.21082944778572,43.78917055221428,84.0,84.0,1.78917055221428,True,True,False,0,0,False,[],38.03016277789018,-1.7891705522142771,279.24598921554815,84.0,CORRIDOR_ONLY,False,2.2737367544323206e-13,0
450,7.516666666666645,M0_STRAIGHT,40.210590549042465,43.789409450957535,84.0,84.0,1.7894094509575353,True,True,False,0,0,False,[],37.75841296271923,-1.789409450957538,283.0347185941889,84.0,CORRIDOR_ONLY,False,1.9895196601282805e-13,0
456,7.616666666666645,M0_STRAIGHT,40.21035668065924,43.78964331934076,84.0,84.0,1.7896433193407617,True,True,False,0,0,False,[],37.347889726248745,-1.7896433193407635,286.78713861316146,84.0,CORRIDOR_ONLY,False,2.5579538487363607e-13,0
462,7.716666666666645,M0_STRAIGHT,40.21006923462487,43.78993076537513,84.0,84.0,1.7899307653751322,True,True,False,0,0,False,[],36.97108247377301,-1.7899307653751353,290.4989406884559,84.0,CORRIDOR_ONLY,False,2.2737367544323206e-13,0
468,7.816666666666644,M0_STRAIGHT,40.20971056292229,43.79028943707771,84.0,84.0,1.7902894370777105,True,True,False,0,0,False,[],36.76448810293685,-1.7902894370777123,294.1822791198085,84.0,CORRIDOR_ONLY,False,2.2737367544323206e-13,0
474,7.916666666666644,M0_STRAIGHT,40.20927793060248,43.79072206939752,84.0,84.0,1.7907220693975177,True,True,False,0,0,False,[],36.79766173452059,-1.7907220693975148,297.85866079101186,84.0,CORRIDOR_ONLY,False,1.9895196601282805e-13,0
480,8.016666666666644,M0_STRAIGHT,40.20882217305552,43.79117782694448,84.0,84.0,1.7911778269444767,True,True,False,0,0,False,[],36.99307068555715,-1.7911778269444754,301.54938411047635,84.0,CORRIDOR_ONLY,False,2.2737367544323206e-13,0
486,8.11666666666665,M0_STRAIGHT,40.20846832410915,43.79153167589085,84.0,84.0,1.7915316758908517,True,True,False,0,0,False,[],37.163639349533106,-1.7915316758908544,305.2592418521201,84.0,CORRIDOR_ONLY,False,2.2737367544323206e-13,0
492,8.216666666666654,M0_STRAIGHT,40.2082345467533,43.7917654532467,84.0,84.0,1.791765453246697,True,True,False,0,0,False,[],37.26290426624378,-1.7917654532467004,308.9819876590653,84.0,CORRIDOR_ONLY,False,2.2737367544323206e-13,0
498,8.31666666666666,M0_STRAIGHT,40.2080433649903,43.7919566350097,84.0,84.0,1.7919566350096972,True,True,False,0,0,False,[],37.251103524078,-1.7919566350096963,312.70887189319023,84.0,CORRIDOR_ONLY,False,2.2737367544323206e-13,0
504,8.416666666666664,M0_STRAIGHT,40.207887426411766,43.792112573588234,84.0,84.0,1.7921125735882342,True,True,False,0,0,False,[],37.05242057168009,-1.7921125735882315,316.42396721372774,84.0,CORRIDOR_ONLY,False,2.2737367544323206e-13,0
510,8.51666666666667,M0_STRAIGHT,40.207756661306824,43.792243338693176,84.0,84.0,1.7922433386931758,True,True,False,0,0,False,[],36.73027406002939,-1.7922433386931773,320.11065580019874,84.0,CORRIDOR_ONLY,False,1.9895196601282805e-13,0
516,8.616666666666674,M0_STRAIGHT,40.207611747142685,43.792388252857315,84.0,84.0,1.7923882528573145,True,True,False,0,0,False,[],36.47410295395773,-1.7923882528573172,323.76760877479194,84.0,CORRIDOR_ONLY,False,1.9895196601282805e-13,0
522,8.71666666666668,M0_STRAIGHT,40.20740675045631,43.79259324954369,84.0,84.0,1.7925932495436925,True,True,False,0,0,False,[],36.364974287249886,-1.792593249543694,327.4075471212927,84.0,CORRIDOR_ONLY,False,2.2737367544323206e-13,0
528,8.816666666666684,M0_STRAIGHT,40.20724366011036,43.79275633988964,84.0,84.0,1.7927563398896424,True,True,False,0,0,False,[],36.36990560662595,-1.7927563398896458,331.04348016329794,84.0,CORRIDOR_ONLY,False,2.5579538487363607e-13,0
534,8.91666666666669,M0_STRAIGHT,40.20709314573057,43.79290685426943,84.0,84.0,1.7929068542694324,True,True,False,0,0,False,[],36.49115900006825,-1.7929068542694353,334.68663128855593,84.0,CORRIDOR_ONLY,False,2.2737367544323206e-13,0
540,9.016666666666694,M0_STRAIGHT,40.20689119549184,43.79310880450816,84.0,84.0,1.793108804508158,True,True,False,0,0,False,[],36.6527250146734,-1.793108804508156,338.34557740875425,84.0,CORRIDOR_ONLY,False,1.9895196601282805e-13,0
546,9.1166666666667,M0_STRAIGHT,40.20674428292463,43.79325571707537,84.0,84.0,1.7932557170753682,True,True,False,0,0,False,[],36.685136512909274,-1.7932557170753696,342.0141974243262,84.0,CORRIDOR_ONLY,False,2.2737367544323206e-13,0
552,9.216666666666704,M0_STRAIGHT,40.20663550405781,43.79336449594219,84.0,84.0,1.7933644959421926,True,True,False,0,0,False,[],36.57628775493156,-1.7933644959421955,345.6770618448518,84.0,CORRIDOR_ONLY,False,2.2737367544323206e-13,0
558,9.316666666666709,M0_STRAIGHT,40.206555443941035,43.793444556058965,84.0,84.0,1.7934445560589651,True,True,False,0,0,False,[],36.41195573929664,-1.7934445560589642,349.3254564109265,84.0,CORRIDOR_ONLY,False,2.2737367544323206e-13,0
564,9.416666666666714,M0_STRAIGHT,40.206516535347504,43.793483464652496,84.0,84.0,1.7934834646524962,True,True,False,0,0,False,[],36.20986337243369,-1.793483464652494,352.95503795796725,84.0,CORRIDOR_ONLY,False,2.2737367544323206e-13,0
570,9.516666666666719,M0_STRAIGHT,40.20653426112785,43.79346573887215,84.0,84.0,1.7934657388721504,True,True,False,0,0,False,[],36.01834411590011,-1.7934657388721529,356.5645179617504,84.0,CORRIDOR_ONLY,False,2.2737367544323206e-13,0
576,9.616666666666724,M0_STRAIGHT,40.206602395496596,43.793397604503404,84.0,84.0,1.7933976045034044,True,True,False,0,0,False,[],35.91845795483865,-1.793397604503407,360.159267523796,84.0,CORRIDOR_ONLY,False,2.2737367544323206e-13,0
582,9.716666666666729,M0_STRAIGHT,40.20659839368732,43.79340160631268,84.0,84.0,1.7934016063126776,True,True,False,0,0,False,[],36.00129055043389,-1.7934016063126743,363.75454118313047,84.0,CORRIDOR_ONLY,False,2.5579538487363607e-13,0
588,9.816666666666734,M0_STRAIGHT,40.20658612131031,43.79341387868969,84.0,84.0,1.793413878689691,True,True,False,0,0,False,[],36.160089305190176,-1.7934138786896932,367.3641817717559,84.0,CORRIDOR_ONLY,False,2.2737367544323206e-13,0
594,9.916666666666739,M0_STRAIGHT,40.20663406050328,43.79336593949672,84.0,84.0,1.7933659394967165,True,True,False,0,0,False,[],36.22864486930138,-1.7933659394967134,370.9850717895687,84.0,CORRIDOR_ONLY,False,2.2737367544323206e-13,0
