map_case,frame,timestamp,profile_junction_detected,junction_detection_latched,active_junction_phase,active_viewpoint_state,viewpoint_scan_index,viewpoint_step_fraction,viewpoint_step_target,viewpoint_step_progress,viewpoint_cumulative_advance,trusted_corridor_width,trusted_corridor_orientation_deg,trusted_corridor_sign_source,local_forward_propulsion_active,leader_braking_active,leader_speed,follower_mean_speed,stationary_dwell_steps,provisional_fixed_anchor,pointcloud_ready,pointcloud_called,pointcloud_call_count,pointcloud_opening_count,min_inter_robot_distance,overlap_pair_count,wall_contact_count,outside_free_space_robot_count,nan_inf_state_count,max_speed,leader_connected,leader_communication_connected,leader_connected_component_size,leader_to_front_pack_gap,normalized_leader_gap,leader_displacement_since_detection_eval,anchor_x_eval,anchor_y_eval,gt_phase
M1_CROSS_BASELINE,204,3.4166666666666594,True,True,VIEWPOINT_REBRAKING,VIEWPOINT_REBRAKING,2,0.1,8.4,8.430061210971246,39.221607068062184,84.0,0.0,PRE_HOLD_LOCAL_MOTION,False,True,0.61212984573021,3.5808806276666907,3,False,False,False,2,2,2.984449759676743,0,10987,0,0,10.846775341642035,False,True,680,inf,inf,59.365765024766496,-2.0127517523848133,-133.82930897371347,CORRIDOR
M1_CROSS_BASELINE,210,3.516666666666659,True,True,VIEWPOINT_ADVANCE,VIEWPOINT_ADVANCE,3,0.1,8.4,0.0,39.2383827186883,84.0,0.0,PRE_HOLD_LOCAL_MOTION,True,False,0.0,3.565794304538401,0,False,False,True,3,2,2.9839031900785096,0,11406,0,0,10.619836690227459,True,True,680,15.045997865305976,0.3980422715689412,59.3825401798723,-2.1477662054297397,-113.51046705158392,CORRIDOR
M1_CROSS_BASELINE,216,3.6166666666666587,True,True,VIEWPOINT_ADVANCE,VIEWPOINT_ADVANCE,3,0.1,8.4,0.28532687268237567,39.523709591370675,84.0,0.0,PRE_HOLD_LOCAL_MOTION,True,False,5.89051217516137,3.552021853502276,0,False,False,False,3,2,2.984024153983247,0,11826,0,0,9.832710280182923,True,True,680,14.632261605010738,0.387096867857427,59.66785812388456,-2.1477662054297397,-113.51046705158392,CORRIDOR
M1_CROSS_BASELINE,222,3.7166666666666583,True,True,VIEWPOINT_ADVANCE,VIEWPOINT_ADVANCE,3,0.1,8.4,1.3962632492804374,40.63464596796874,84.0,0.0,PRE_HOLD_LOCAL_MOTION,True,False,14.8152176346877,3.5461846826534966,0,False,False,False,3,2,2.984056644912295,0,12246,0,0,14.8152176346877,True,True,680,14.683981995142174,0.3884651321466184,60.778761305841726,-2.1477662054297397,-113.51046705158392,CORRIDOR
M1_CROSS_BASELINE,228,3.816666666666658,True,True,VIEWPOINT_ADVANCE,VIEWPOINT_ADVANCE,3,0.1,8.4,3.3315917080652326,42.56997442675353,84.0,0.0,PRE_HOLD_LOCAL_MOTION,True,False,22.268707582458855,3.550037844012553,0,False,False,False,3,2,2.984145793806213,0,12666,0,0,22.268707582458855,True,True,680,15.273114241362434,0.40405064130588453,62.714036089823466,-2.1477662054297397,-113.51046705158392,CORRIDOR
M1_CROSS_BASELINE,234,3.9166666666666576,True,True,VIEWPOINT_ADVANCE,VIEWPOINT_ADVANCE,3,0.1,8.4,5.869935509610912,45.10831822829921,84.0,0.0,PRE_HOLD_LOCAL_MOTION,True,False,27.27712784710342,3.5599469522373894,0,False,False,False,3,2,2.9871191945142415,0,13089,0,0,27.27712784710342,False,True,680,inf,inf,65.25231491728492,-2.1477662054297397,-113.51046705158392,CORRIDOR
M1_CROSS_BASELINE,240,4.016666666666658,True,True,VIEWPOINT_REBRAKING,VIEWPOINT_REBRAKING,3,0.1,8.4,8.782361096415329,48.02074381510363,84.0,0.0,PRE_HOLD_LOCAL_MOTION,False,True,30.199725160642185,3.5530137082973843,0,False,False,False,3,2,2.995409224378248,0,13518,0,0,30.199725160642185,False,True,680,inf,inf,68.16467209012411,-2.1477662054297397,-113.51046705158392,CORRIDOR
M1_CROSS_BASELINE,246,4.116666666666657,True,True,VIEWPOINT_REBRAKING,VIEWPOINT_REBRAKING,3,0.1,8.4,8.782361096415329,50.85213034482929,84.0,0.0,PRE_HOLD_LOCAL_MOTION,False,True,25.815965071043557,3.548392880092033,0,False,False,False,3,2,3.011264626339444,0,13957,0,0,25.815965071043557,False,True,680,inf,inf,70.99599752268907,-2.1477662054297397,-113.51046705158392,CORRIDOR
M1_CROSS_BASELINE,252,4.216666666666657,True,True,VIEWPOINT_REBRAKING,VIEWPOINT_REBRAKING,3,0.1,8.4,8.782361096415329,52.955923639365125,84.0,0.0,PRE_HOLD_LOCAL_MOTION,False,True,17.563237790260242,3.5528714229801457,0,False,False,False,3,2,3.033389196270314,0,14399,0,0,17.563237790260242,False,True,680,inf,inf,73.09974848820616,-2.1477662054297397,-113.51046705158392,CORRIDOR
M1_CROSS_BASELINE,258,4.316666666666657,True,True,VIEWPOINT_REBRAKING,VIEWPOINT_REBRAKING,3,0.1,8.4,8.782361096415329,54.27459660352561,84.0,0.0,PRE_HOLD_LOCAL_MOTION,False,True,10.34648316787939,3.550765652019642,0,False,False,False,3,2,3.0733921656498664,0,14841,0,0,10.34648316787939,False,True,680,inf,inf,74.41839613997016,-2.1477662054297397,-113.51046705158392,CORRIDOR
M1_CROSS_BASELINE,264,4.416666666666656,True,True,VIEWPOINT_REBRAKING,VIEWPOINT_REBRAKING,3,0.1,8.4,8.782361096415329,55.00111411406543,84.0,0.0,PRE_HOLD_LOCAL_MOTION,False,True,5.379140540349361,3.5405087918740623,0,False,False,False,3,2,3.1030362734618864,0,15284,0,0,7.91797424950057,False,True,680,inf,inf,75.14490008393348,-2.1477662054297397,-113.51046705158392,CORRIDOR
M1_CROSS_BASELINE,270,4.516666666666656,True,True,VIEWPOINT_REBRAKING,VIEWPOINT_REBRAKING,3,0.1,8.4,8.782361096415329,55.352867553317964,84.0,0.0,PRE_HOLD_LOCAL_MOTION,False,True,2.4271429662710537,3.5193350771688783,0,False,False,False,3,2,3.1284965028953713,0,15726,0,0,7.750980834178659,False,True,680,inf,inf,75.49664704842495,-2.1477662054297397,-113.51046705158392,CORRIDOR
M1_CROSS_BASELINE,276,4.616666666666656,True,True,VIEWPOINT_REBRAKING,VIEWPOINT_REBRAKING,3,0.1,8.4,8.782361096415329,55.49640181241902,84.0,0.0,PRE_HOLD_LOCAL_MOTION,False,True,0.8791141766411346,3.4797942673447575,2,False,False,False,3,2,3.163165903688244,0,16172,0,0,7.60823663220597,False,True,680,inf,inf,75.64017868274453,-2.1477662054297397,-113.51046705158392,CORRIDOR
M1_CROSS_BASELINE,282,4.716666666666655,True,True,VIEWPOINT_SEQUENCE_COMPLETE,VIEWPOINT_SEQUENCE_COMPLETE,3,0.1,8.4,8.782361096415329,55.53109575861822,84.0,0.0,PRE_HOLD_LOCAL_MOTION,False,False,0.0,3.445810836939781,6,True,True,True,4,2,3.2044366413906418,0,16621,0,0,7.459848393738272,False,True,680,inf,inf,75.67487199599198,-2.1474277215192537,-97.217754011654,CORRIDOR
M1_CROSS_BASELINE,288,4.816666666666655,True,True,VIEWPOINT_SEQUENCE_COMPLETE,VIEWPOINT_SEQUENCE_COMPLETE,3,0.1,8.4,8.782361096415329,55.53109575861822,84.0,0.0,PRE_HOLD_LOCAL_MOTION,False,False,0.0,3.4121765920923544,6,True,True,False,4,2,3.249696189691923,0,17070,0,0,7.306106605166871,False,True,680,inf,inf,75.67487199599198,-2.1474277215192537,-97.217754011654,CORRIDOR
M1_CROSS_BASELINE,294,4.9166666666666545,True,True,VIEWPOINT_SEQUENCE_COMPLETE,VIEWPOINT_SEQUENCE_COMPLETE,3,0.1,8.4,8.782361096415329,55.53109575861822,84.0,0.0,PRE_HOLD_LOCAL_MOTION,False,False,0.0,3.3731032053568835,6,True,True,False,4,2,3.2616755249668525,0,17523,0,0,7.323000987606848,False,True,680,inf,inf,75.67487199599198,-2.1474277215192537,-97.217754011654,CORRIDOR
M1_CROSS_BASELINE,300,5.016666666666654,True,True,VIEWPOINT_SEQUENCE_COMPLETE,VIEWPOINT_SEQUENCE_COMPLETE,3,0.1,8.4,8.782361096415329,55.53109575861822,84.0,0.0,PRE_HOLD_LOCAL_MOTION,False,False,0.0,3.333771106783093,6,True,True,False,4,2,3.2726684279084655,0,17982,0,0,7.360161306023013,False,True,680,inf,inf,75.67487199599198,-2.1474277215192537,-97.217754011654,CORRIDOR
M1_CROSS_BASELINE,306,5.116666666666654,True,True,VIEWPOINT_SEQUENCE_COMPLETE,VIEWPOINT_SEQUENCE_COMPLETE,3,0.1,8.4,8.782361096415329,55.53109575861822,84.0,0.0,PRE_HOLD_LOCAL_MOTION,False,False,0.0,3.295138120533758,6,True,True,False,4,2,3.2781954561848767,0,18445,0,0,7.3382318660846835,False,True,680,inf,inf,75.67487199599198,-2.1474277215192537,-97.217754011654,CORRIDOR
M1_CROSS_BASELINE,312,5.2166666666666535,True,True,VIEWPOINT_SEQUENCE_COMPLETE,VIEWPOINT_SEQUENCE_COMPLETE,3,0.1,8.4,8.782361096415329,55.53109575861822,84.0,0.0,PRE_HOLD_LOCAL_MOTION,False,False,0.0,3.257995516941285,6,True,True,False,4,2,3.277559019195385,0,18913,0,0,7.2157932079461204,False,True,680,inf,inf,75.67487199599198,-2.1474277215192537,-97.217754011654,CORRIDOR
M1_CROSS_BASELINE,318,5.316666666666653,True,True,VIEWPOINT_SEQUENCE_COMPLETE,VIEWPOINT_SEQUENCE_COMPLETE,3,0.1,8.4,8.782361096415329,55.53109575861822,84.0,0.0,PRE_HOLD_LOCAL_MOTION,False,False,0.0,3.2173026052723968,6,True,True,False,4,2,3.2746615966294215,0,19387,0,0,7.0749022182287495,False,True,680,inf,inf,75.67487199599198,-2.1474277215192537,-97.217754011654,CORRIDOR
M1_CROSS_BASELINE,324,5.416666666666653,True,True,VIEWPOINT_SEQUENCE_COMPLETE,VIEWPOINT_SEQUENCE_COMPLETE,3,0.1,8.4,8.782361096415329,55.53109575861822,84.0,0.0,PRE_HOLD_LOCAL_MOTION,False,False,0.0,3.1821632643591578,6,True,True,False,4,2,3.2751277950520237,0,19865,0,0,6.9911606724271556,False,True,680,inf,inf,75.67487199599198,-2.1474277215192537,-97.217754011654,CORRIDOR
M1_CROSS_BASELINE,330,5.516666666666652,True,True,VIEWPOINT_SEQUENCE_COMPLETE,VIEWPOINT_SEQUENCE_COMPLETE,3,0.1,8.4,8.782361096415329,55.53109575861822,84.0,0.0,PRE_HOLD_LOCAL_MOTION,False,False,0.0,3.1473885424177475,6,True,True,False,4,2,3.2730475107383206,0,20345,0,0,6.891229281466375,False,True,680,inf,inf,75.67487199599198,-2.1474277215192537,-97.217754011654,CORRIDOR
