map_case,frame,timestamp,profile_junction_detected,junction_detection_latched,active_junction_phase,active_viewpoint_state,viewpoint_scan_index,viewpoint_step_fraction,viewpoint_step_target,viewpoint_step_progress,viewpoint_cumulative_advance,trusted_corridor_width,trusted_corridor_orientation_deg,trusted_corridor_sign_source,local_forward_propulsion_active,leader_braking_active,leader_speed,follower_mean_speed,stationary_dwell_steps,provisional_fixed_anchor,pointcloud_ready,pointcloud_called,pointcloud_call_count,pointcloud_opening_count,min_inter_robot_distance,overlap_pair_count,wall_contact_count,outside_free_space_robot_count,nan_inf_state_count,max_speed,leader_communication_connected,leader_connected_component_size,leader_to_front_pack_gap,normalized_leader_gap,leader_displacement_since_detection_eval,anchor_x_eval,anchor_y_eval,gt_phase
M0_STRAIGHT,204,3.4166666666666594,False,False,LOCAL_FORWARD,WAITING_INITIAL_SCAN,0,0.1,0.0,0.0,0.0,nan,nan,UNAVAILABLE,True,False,38.39793047611437,32.5046813524549,0,False,False,False,0,0,2.9659607092128333,0,10989,0,0,42.69097823453341,True,680,10.878177475971212,0.2877824729092913,0.0,nan,nan,CORRIDOR_ONLY
M0_STRAIGHT,210,3.516666666666659,False,False,LOCAL_FORWARD,WAITING_INITIAL_SCAN,0,0.1,0.0,0.0,0.0,nan,nan,UNAVAILABLE,True,False,39.07740772061906,32.504246033968904,0,False,False,False,0,0,2.963705048076691,0,11408,0,0,42.395398944613014,True,680,10.70796861620448,0.2832795930212826,0.0,nan,nan,CORRIDOR_ONLY
M0_STRAIGHT,216,3.6166666666666587,False,False,LOCAL_FORWARD,WAITING_INITIAL_SCAN,0,0.1,0.0,0.0,0.0,nan,nan,UNAVAILABLE,True,False,40.30244679523329,32.50404256562928,0,False,False,False,0,0,2.962383382519057,0,11828,0,0,42.122340042058795,True,680,10.651119596055542,0.2817756506893001,0.0,nan,nan,CORRIDOR_ONLY
M0_STRAIGHT,222,3.7166666666666583,False,False,LOCAL_FORWARD,WAITING_INITIAL_SCAN,0,0.1,0.0,0.0,0.0,nan,nan,UNAVAILABLE,True,False,41.34835073387863,32.50411899130439,0,False,False,False,0,0,2.9611683145199597,0,12248,0,0,41.94194191494257,True,680,10.72656128056958,0.2837714624489307,0.0,nan,nan,CORRIDOR_ONLY
M0_STRAIGHT,228,3.816666666666658,False,False,LOCAL_FORWARD,WAITING_INITIAL_SCAN,0,0.1,0.0,0.0,0.0,nan,nan,UNAVAILABLE,True,False,41.71010449085224,32.50443255112185,0,False,False,False,0,0,2.9605798514490256,0,12668,0,0,41.712632089520575,True,680,10.897328165575596,0.28828910490940735,0.0,nan,nan,CORRIDOR_ONLY
M0_STRAIGHT,234,3.9166666666666576,False,False,LOCAL_FORWARD,WAITING_INITIAL_SCAN,0,0.1,0.0,0.0,0.0,nan,nan,UNAVAILABLE,True,False,41.182497721949744,32.50378557684346,0,False,False,False,0,0,2.963214453463039,0,13095,0,0,41.33548936035206,True,680,11.090272485992877,0.2933934520103936,0.0,nan,nan,CORRIDOR_ONLY
M0_STRAIGHT,240,4.016666666666658,False,False,LOCAL_FORWARD,WAITING_INITIAL_SCAN,0,0.1,0.0,0.0,0.0,nan,nan,UNAVAILABLE,True,False,39.94293932407128,32.503535312166235,0,False,False,False,0,0,2.970236832949933,0,13529,0,0,40.98269362510379,True,680,11.225189974171204,0.296962697729397,0.0,nan,nan,CORRIDOR_ONLY
M0_STRAIGHT,246,4.116666666666657,False,False,LOCAL_FORWARD,WAITING_INITIAL_SCAN,0,0.1,0.0,0.0,0.0,nan,nan,UNAVAILABLE,True,False,38.471240910668854,32.50343963176514,0,False,False,False,0,0,2.985140996659295,0,13967,0,0,40.76123645039864,True,680,11.256757411717722,0.29779781512480746,0.0,nan,nan,CORRIDOR_ONLY
M0_STRAIGHT,252,4.216666666666657,False,False,LOCAL_FORWARD,WAITING_INITIAL_SCAN,0,0.1,0.0,0.0,0.0,nan,nan,UNAVAILABLE,True,False,37.37491353750742,32.502980457520266,0,False,False,False,0,0,3.0056859868346986,0,14407,0,0,40.57249578670558,True,680,11.163235840621548,0.29532369948734255,0.0,nan,nan,CORRIDOR_ONLY
M0_STRAIGHT,258,4.316666666666657,False,False,LOCAL_FORWARD,WAITING_INITIAL_SCAN,0,0.1,0.0,0.0,0.0,nan,nan,UNAVAILABLE,True,False,37.12899334740833,32.50272280895627,0,False,False,False,0,0,3.030185681562869,0,14849,0,0,40.364143756575565,True,680,11.007147665542231,0.29119438268630243,0.0,nan,nan,CORRIDOR_ONLY
M0_STRAIGHT,264,4.416666666666656,False,False,LOCAL_FORWARD,WAITING_INITIAL_SCAN,0,0.1,0.0,0.0,0.0,nan,nan,UNAVAILABLE,True,False,37.69799579555256,32.50310850765033,0,False,False,False,0,0,3.059085707725152,0,15292,0,0,40.14792148189664,True,680,10.887990427524795,0.28804207480224325,0.0,nan,nan,CORRIDOR_ONLY
M0_STRAIGHT,270,4.516666666666656,False,False,LOCAL_FORWARD,WAITING_INITIAL_SCAN,0,0.1,0.0,0.0,0.0,nan,nan,UNAVAILABLE,True,False,38.62235752134913,32.502241031611625,0,False,False,False,0,0,3.090481736590023,0,15735,0,0,39.95107512178308,True,680,10.854885822387198,0.2871662915975449,0.0,nan,nan,CORRIDOR_ONLY
M0_STRAIGHT,276,4.616666666666656,False,False,LOCAL_FORWARD,WAITING_INITIAL_SCAN,0,0.1,0.0,0.0,0.0,nan,nan,UNAVAILABLE,True,False,39.38470873992971,32.502233630617184,0,False,False,False,0,0,3.1154233527740685,0,16183,0,0,39.8224547008608,True,680,10.909607488654448,0.2886139547263082,0.0,nan,nan,CORRIDOR_ONLY
M0_STRAIGHT,282,4.716666666666655,False,False,LOCAL_FORWARD,WAITING_INITIAL_SCAN,0,0.1,0.0,0.0,0.0,nan,nan,UNAVAILABLE,True,False,39.64975203792746,32.50241025784798,0,False,False,False,0,0,3.147925677031363,0,16632,0,0,39.70830288582703,True,680,11.021057853027257,0.2915623770642132,0.0,nan,nan,CORRIDOR_ONLY
M0_STRAIGHT,288,4.816666666666655,False,False,LOCAL_FORWARD,WAITING_INITIAL_SCAN,0,0.1,0.0,0.0,0.0,nan,nan,UNAVAILABLE,True,False,39.31365354133355,32.5025485594425,0,False,False,False,0,0,3.19160179209147,0,17082,0,0,39.60547864733216,True,680,11.139760934727017,0.2947026702308735,0.0,nan,nan,CORRIDOR_ONLY
M0_STRAIGHT,294,4.9166666666666545,False,False,LOCAL_FORWARD,WAITING_INITIAL_SCAN,0,0.1,0.0,0.0,0.0,nan,nan,UNAVAILABLE,True,False,38.5313976613078,32.50280983596621,0,False,False,False,0,0,3.2290886929921103,0,17531,0,0,39.543429870644225,True,680,11.214458797618313,0.2966788041697967,0.0,nan,nan,CORRIDOR_ONLY
M0_STRAIGHT,300,5.016666666666654,False,False,LOCAL_FORWARD,WAITING_INITIAL_SCAN,0,0.1,0.0,0.0,0.0,nan,nan,UNAVAILABLE,True,False,37.652285488295064,32.502336195809065,0,False,False,False,0,0,3.2696130775832803,0,17985,0,0,39.35786617439335,True,680,11.212419062277466,0.29662484291739327,0.0,nan,nan,CORRIDOR_ONLY
M0_STRAIGHT,306,5.116666666666654,False,False,LOCAL_FORWARD,WAITING_INITIAL_SCAN,0,0.1,0.0,0.0,0.0,nan,nan,UNAVAILABLE,True,False,37.08704048810338,32.502049586505706,0,False,False,False,0,0,3.2831948037623735,0,18448,0,0,39.26673227347719,True,680,11.14075560510667,0.2947289842620812,0.0,nan,nan,CORRIDOR_ONLY
M0_STRAIGHT,312,5.2166666666666535,False,False,LOCAL_FORWARD,WAITING_INITIAL_SCAN,0,0.1,0.0,0.0,0.0,nan,nan,UNAVAILABLE,True,False,37.06118621444785,32.50164561284747,0,False,False,False,0,0,3.2853058455706643,0,18916,0,0,39.29924706362719,True,680,11.047889713755369,0.29227221464961295,0.0,nan,nan,CORRIDOR_ONLY
M0_STRAIGHT,318,5.316666666666653,False,False,LOCAL_FORWARD,WAITING_INITIAL_SCAN,0,0.1,0.0,0.0,0.0,nan,nan,UNAVAILABLE,True,False,37.48212803399574,32.50144616228365,0,False,False,False,0,0,3.2855536896088404,0,19389,0,0,39.13949803230645,True,680,10.984115494809592,0.29058506600025374,0.0,nan,nan,CORRIDOR_ONLY
M0_STRAIGHT,324,5.416666666666653,False,False,LOCAL_FORWARD,WAITING_INITIAL_SCAN,0,0.1,0.0,0.0,0.0,nan,nan,UNAVAILABLE,True,False,38.06271772381326,32.50140656095884,0,False,False,False,0,0,3.284871670031981,0,19862,0,0,39.05700250403768,True,680,10.967111661036515,0.29013522912795014,0.0,nan,nan,CORRIDOR_ONLY
M0_STRAIGHT,330,5.516666666666652,False,False,LOCAL_FORWARD,WAITING_INITIAL_SCAN,0,0.1,0.0,0.0,0.0,nan,nan,UNAVAILABLE,True,False,38.52133047559469,32.50145888852505,0,False,False,False,0,0,3.282784097827387,0,20335,0,0,39.02108300858284,True,680,10.99931642769993,0.2909872070820087,0.0,nan,nan,CORRIDOR_ONLY
M0_STRAIGHT,336,5.616666666666652,False,False,LOCAL_FORWARD,WAITING_INITIAL_SCAN,0,0.1,0.0,0.0,0.0,nan,nan,UNAVAILABLE,True,False,38.67238839806682,32.5016283025574,0,False,False,False,0,0,3.2807087583105017,0,20810,0,0,38.960665106066344,True,680,11.068087572004538,0.2928065495239296,0.0,nan,nan,CORRIDOR_ONLY
M0_STRAIGHT,342,5.716666666666652,False,False,LOCAL_FORWARD,WAITING_INITIAL_SCAN,0,0.1,0.0,0.0,0.0,nan,nan,UNAVAILABLE,True,False,38.45332739562511,32.50172332113653,0,False,False,False,0,0,3.277797138227203,0,21289,0,0,38.86276432884845,True,680,11.142027042597501,0.2947626201745371,0.0,nan,nan,CORRIDOR_ONLY
M0_STRAIGHT,348,5.816666666666651,False,False,LOCAL_FORWARD,WAITING_INITIAL_SCAN,0,0.1,0.0,0.0,0.0,nan,nan,UNAVAILABLE,True,False,37.96273330835621,32.501758496602235,0,False,False,False,0,0,3.2642821024953403,0,21768,0,0,38.79943493117456,True,680,11.185490360063142,0.29591244338791384,0.0,nan,nan,CORRIDOR_ONLY
M0_STRAIGHT,354,5.916666666666651,False,False,LOCAL_FORWARD,WAITING_INITIAL_SCAN,0,0.1,0.0,0.0,0.0,nan,nan,UNAVAILABLE,True,False,37.429394623805734,32.50146021728865,0,False,False,False,0,0,3.2540769345116116,0,22248,0,0,38.73364383666778,True,680,11.178638255238882,0.2957311707735154,0.0,nan,nan,CORRIDOR_ONLY
M0_STRAIGHT,360,6.016666666666651,False,False,LOCAL_FORWARD,WAITING_INITIAL_SCAN,0,0.1,0.0,0.0,0.0,nan,nan,UNAVAILABLE,True,False,37.11520354100635,32.50147229713776,0,False,False,False,0,0,3.2452763455138136,0,22728,0,0,38.659780387946306,True,680,11.128382881965473,0.29440166354406017,0.0,nan,nan,CORRIDOR_ONLY
