frame,time,map_case,lidar_x_eval,lidar_y_eval,corridor_width,max_range,local_lateral_offset,opening_group_count,junction_detected,detector_state,leader_speed,measured_profile_summary,expected_profile_summary,max_abs_valid_profile_delta,GT_phase_eval_only,nan_inf_state_count,noise_std,dropout,occlusion
240,4.016666666666658,M0_STRAIGHT,-1.7865369708126249,150.055670255775,84.0,150.0,1.7865369708126266,0,False,LIDAR_PROFILE_CLEAR,39.94293932407128,"{""min"":40.21346302918737,""mean"":79.10613518736147,""max"":150.0}","{""min"":40.21346302918737,""mean"":79.10613518736146,""max"":150.0}",2.2737367544323206e-13,CORRIDOR_ONLY,0,0.0,0.0,0.0
246,4.116666666666657,M0_STRAIGHT,-1.7867718400209782,153.9636539609299,84.0,150.0,1.7867718400209753,0,False,LIDAR_PROFILE_CLEAR,38.471240910668854,"{""min"":40.213228159979025,""mean"":79.10613045350046,""max"":150.0}","{""min"":40.213228159979025,""mean"":79.10613045350044,""max"":150.0}",2.2737367544323206e-13,CORRIDOR_ONLY,0,0.0,0.0,0.0
252,4.216666666666657,M0_STRAIGHT,-1.7870195200311125,157.7412795363151,84.0,150.0,1.7870195200311159,0,False,LIDAR_PROFILE_CLEAR,37.37491353750742,"{""min"":40.212980479968884,""mean"":79.10612546143378,""max"":150.0}","{""min"":40.212980479968884,""mean"":79.10612546143378,""max"":150.0}",2.2737367544323206e-13,CORRIDOR_ONLY,0,0.0,0.0,0.0
258,4.316666666666657,M0_STRAIGHT,-1.7875559015942204,161.45683038596735,84.0,150.0,1.7875559015942173,0,False,LIDAR_PROFILE_CLEAR,37.12899334740833,"{""min"":40.21244409840578,""mean"":79.10611465049867,""max"":150.0}","{""min"":40.21244409840578,""mean"":79.10611465049864,""max"":150.0}",2.2737367544323206e-13,CORRIDOR_ONLY,0,0.0,0.0,0.0
264,4.416666666666656,M0_STRAIGHT,-1.7882812205417669,165.1977967677157,84.0,150.0,1.7882812205417693,0,False,LIDAR_PROFILE_CLEAR,37.69799579555256,"{""min"":40.21171877945823,""mean"":79.10610003147252,""max"":150.0}","{""min"":40.21171877945823,""mean"":79.10610003147251,""max"":150.0}",2.2737367544323206e-13,CORRIDOR_ONLY,0,0.0,0.0,0.0
270,4.516666666666656,M0_STRAIGHT,-1.7888813297561286,169.0209479246885,84.0,150.0,1.78888132975613,0,False,LIDAR_PROFILE_CLEAR,38.62235752134913,"{""min"":40.21111867024387,""mean"":79.10608793608701,""max"":150.0}","{""min"":40.21111867024387,""mean"":79.10608793608701,""max"":150.0}",2.5579538487363607e-13,CORRIDOR_ONLY,0,0.0,0.0,0.0
276,4.616666666666656,M0_STRAIGHT,-1.7891708506880373,172.93061647474494,84.0,150.0,1.7891708506880377,0,False,LIDAR_PROFILE_CLEAR,39.38470873992971,"{""min"":40.21082914931196,""mean"":79.10608210070372,""max"":150.0}","{""min"":40.21082914931196,""mean"":79.10608210070372,""max"":150.0}",2.2737367544323206e-13,CORRIDOR_ONLY,0,0.0,0.0,0.0
282,4.716666666666655,M0_STRAIGHT,-1.7892934490875139,176.8893905985856,84.0,150.0,1.7892934490875163,0,False,LIDAR_PROFILE_CLEAR,39.64975203792746,"{""min"":40.210706550912484,""mean"":79.10607962969532,""max"":150.0}","{""min"":40.210706550912484,""mean"":79.10607962969532,""max"":150.0}",2.2737367544323206e-13,CORRIDOR_ONLY,0,0.0,0.0,0.0
288,4.816666666666655,M0_STRAIGHT,-1.7893966733847635,180.83936696938713,84.0,150.0,1.7893966733847648,0,False,LIDAR_PROFILE_CLEAR,39.31365354133355,"{""min"":40.210603326615235,""mean"":79.10607754917791,""max"":150.0}","{""min"":40.210603326615235,""mean"":79.10607754917791,""max"":150.0}",2.2737367544323206e-13,CORRIDOR_ONLY,0,0.0,0.0,0.0
294,4.9166666666666545,M0_STRAIGHT,-1.7894614236649566,184.72750679250564,84.0,150.0,1.7894614236649602,0,False,LIDAR_PROFILE_CLEAR,38.5313976613078,"{""min"":40.21053857633504,""mean"":79.10607624411612,""max"":150.0}","{""min"":40.21053857633504,""mean"":79.10607624411612,""max"":150.0}",1.9895196601282805e-13,CORRIDOR_ONLY,0,0.0,0.0,0.0
