timestamp,phase,threshold,component_id,robot_count,centroid_x,centroid_y,centroid_range,centroid_bearing_deg,bearing_std_deg,spatial_span,forward_zero_count,front_cohort_count,retention_fraction,matched_previous_component_id,lifetime_samples,radial_rate
3.7166666666666583,SPH_OPENING_APPROACH,180,180-5,4,43.12233402153341,-74.66094627111764,86.21944438213119,-59.99032198960376,4.197158297007049,28.782608736850356,2,0,1.0,180-5,27,-1.6920634876450436
3.7166666666666583,SPH_OPENING_APPROACH,180,180-3,3,38.55882647116126,-2.1208266605377477,38.617107666902946,-3.148231214656603,10.26418809890893,18.61536032101113,1,0,1.0,180-3,37,-6.168803304598285
3.7166666666666583,SPH_OPENING_APPROACH,180,180-3,3,107.77679925726966,45.47011623518538,116.9759373913416,22.874468060584157,1.907738864490053,23.047745398280547,1,2,1.0,180-3,37,6.241957699165397
3.7166666666666583,SPH_OPENING_APPROACH,180,180-2,3,109.65260646599852,-122.10844760393115,164.1163217995978,-48.076363229292774,2.4625004573201505,23.00855797386035,1,2,1.0,180-2,37,12.92871397367037
3.7166666666666583,SPH_OPENING_APPROACH,180,180-8,2,31.573650310623712,-37.885103258736315,49.317100917051704,-50.19199153621925,5.203054905340398,13.034197737766709,0,0,1.0,180-8,23,-4.055638962438479
3.7166666666666583,SPH_OPENING_APPROACH,180,180-3,2,80.05843518587439,4.100895800538132,80.1633980740445,2.932343587603136,0.14376601264736877,8.068061056700461,0,0,1.0,180-3,37,2.2012193863312746
3.7166666666666583,SPH_OPENING_APPROACH,180,180-10,2,98.63095352243229,-98.30867343339398,139.25753216604804,-44.90623891836563,0.9807217938294777,6.7399830977508515,0,0,0.5,180-10,6,-21.372199102426066
3.7166666666666583,SPH_OPENING_APPROACH,180,180-9,2,166.18894002677592,-8.682564241478055,166.41559635151603,-2.9907068329469397,1.8377934734821932,11.644959455743688,0,2,1.0,180-9,16,13.019386292952788
3.7166666666666583,SPH_OPENING_APPROACH,180,180-9,2,146.68063253848578,14.049642302570938,147.3519610005937,5.471321356418778,1.7195267249277404,11.505850330771864,0,2,1.0,180-9,16,7.19367439583408
3.7166666666666583,SPH_OPENING_APPROACH,180,180-5,1,79.18777380992223,-78.89474422103773,111.78141252763973,-44.893793825558994,0.0,0.0,0,0,1.0,180-5,27,1.841500084086647
3.7166666666666583,SPH_OPENING_APPROACH,180,180-9,1,170.97864889687094,-30.59442647555402,173.6943214672476,-10.144975286117319,0.0,0.0,1,1,1.0,180-9,16,13.618341374678948
3.7166666666666583,SPH_OPENING_APPROACH,180,180-3,1,134.47486852344989,33.03429771662155,138.4729399197891,13.801648280637634,0.0,0.0,1,1,1.0,180-3,37,7.370872326243614
3.7166666666666583,SPH_OPENING_APPROACH,180,180-2,1,137.53753414353517,-103.72034521925404,172.2628320639288,-37.02082002230242,0.0,0.0,0,1,1.0,180-2,37,10.53580562331831
3.7166666666666583,SPH_OPENING_APPROACH,180,180-12,1,153.6395733329522,-85.26849108918867,175.71520727176303,-29.02985497598176,0.0,0.0,0,1,1.0,180-12,16,10.554446353908702
3.7166666666666583,SPH_OPENING_APPROACH,180,180-2,1,168.22158036094416,-65.51204879349133,180.5279165011727,-21.277880299176378,0.0,0.0,1,1,1.0,180-2,37,13.130561340346674
3.816666666666658,SPH_OPENING_APPROACH,90,90-1,69,96.44525685097705,-34.8687475548424,102.55494685822943,-19.876913055127375,26.67247111159008,227.42445660236578,8,23,0.9855072463768116,90-1,38,11.231380582516834
3.816666666666658,SPH_OPENING_APPROACH,90,90-1,64,7.606495225556129,-37.619193643452675,38.38049634905727,-78.56907105776155,40.979515407258404,77.42232146565144,0,0,1.0,90-1,38,7.105427357601002e-14
3.816666666666658,SPH_OPENING_APPROACH,120,120-1,64,7.606495225556129,-37.619193643452675,38.38049634905727,-78.56907105776155,40.979515407258404,77.42232146565144,0,0,1.0,120-1,38,7.105427357601002e-14
3.816666666666658,SPH_OPENING_APPROACH,120,120-1,61,96.79411215890521,-34.03766706552718,102.60440013905054,-19.374233050803745,27.35889236752055,227.42445660236578,8,21,1.0,120-1,38,1.8503129667793417
3.816666666666658,SPH_OPENING_APPROACH,150,150-1,64,7.606495225556129,-37.619193643452675,38.38049634905727,-78.56907105776155,40.979515407258404,77.42232146565144,0,0,1.0,150-1,38,7.105427357601002e-14
3.816666666666658,SPH_OPENING_APPROACH,150,150-1,27,58.235469819832446,-37.696575306333095,69.37147637871531,-32.91550609117568,26.90851953845729,101.73034003756649,4,0,0.9629629629629629,150-1,38,16.118848628816096
3.816666666666658,SPH_OPENING_APPROACH,150,150-1,15,137.80043220476844,-86.35441600502669,162.62239784048873,-32.073845180403595,13.33681481085924,121.57178670210456,3,11,1.0,150-1,38,9.987074208472109
3.816666666666658,SPH_OPENING_APPROACH,150,150-1,6,102.29679559052126,39.245714515539646,109.56669428217741,20.9890906290392,4.931924980116028,38.22261174673925,0,2,1.0,150-1,38,4.384983663608324
