frame,time,profile_junction_detected,detection_latched,phase,forward_propulsion_enabled,leader_braking,leader_speed,stationary,stationary_dwell,stationary_dwell_target,anchor_active,pointcloud_ready,first_detection_time,detection_latch_time,hold_entry_time,braking_start_time,stationary_confirmation_time,anchor_entry_time,distance_since_detection_eval,distance_during_braking_eval,distance_since_anchor_eval,anchor_heading_drift_eval,leader_gap,connected_component_size,follower_mean_speed,follower_moving_fraction,mean_lateral_sph_force,lateral_span,min_robot_distance,overlap_pairs,max_speed,nan_inf_state_count,outside_free_space_robot_count,GT_phase_eval_only
246,4.116666666666657,True,True,PROVISIONAL_FIXED_ANCHOR,False,False,0.0,True,6,6,True,True,0.6166666666666669,0.6166666666666669,0.6166666666666669,0.6333333333333336,1.35,1.35,20.142523653043746,18.730045770259014,0.0,0.0,4.073055512998588,680,3.447850162265683,0.7864506627393225,31.194360747663534,81.75990584638933,3.0391881123147946,0,8.259957211349036,0,0,CORRIDOR
252,4.216666666666657,True,True,PROVISIONAL_FIXED_ANCHOR,False,False,0.0,True,6,6,True,True,0.6166666666666669,0.6166666666666669,0.6166666666666669,0.6333333333333336,1.35,1.35,20.142523653043746,18.730045770259014,0.0,0.0,3.979235106156967,680,3.4575225461367936,0.792341678939617,30.870044646687795,81.75990584638933,3.076900807069857,0,8.004711663638048,0,0,CORRIDOR
258,4.316666666666657,True,True,PROVISIONAL_FIXED_ANCHOR,False,False,0.0,True,6,6,True,True,0.6166666666666669,0.6166666666666669,0.6166666666666669,0.6333333333333336,1.35,1.35,20.142523653043746,18.730045770259014,0.0,0.0,3.8793789359757356,680,3.466853113850319,0.8041237113402062,30.580034678821164,81.75994484315058,3.094093409052643,0,7.74205584242034,0,0,CORRIDOR
264,4.416666666666656,True,True,PROVISIONAL_FIXED_ANCHOR,False,False,0.0,True,6,6,True,True,0.6166666666666669,0.6166666666666669,0.6166666666666669,0.6333333333333336,1.35,1.35,20.142523653043746,18.730045770259014,0.0,0.0,3.79005554640045,680,3.4661561650701818,0.8085419734904271,30.142731706860104,81.75994484315058,3.116676087847394,0,7.582234152551535,0,0,CORRIDOR
270,4.516666666666656,True,True,PROVISIONAL_FIXED_ANCHOR,False,False,0.0,True,6,6,True,True,0.6166666666666669,0.6166666666666669,0.6166666666666669,0.6333333333333336,1.35,1.35,20.142523653043746,18.730045770259014,0.0,0.0,3.706684709902075,680,3.4541277561178187,0.8100147275405007,29.728680386416197,81.75994484315058,3.143608865962282,0,7.495450009941897,0,0,CORRIDOR
276,4.616666666666656,True,True,PROVISIONAL_FIXED_ANCHOR,False,False,0.0,True,6,6,True,True,0.6166666666666669,0.6166666666666669,0.6166666666666669,0.6333333333333336,1.35,1.35,20.142523653043746,18.730045770259014,0.0,0.0,3.6338435645820915,680,3.4213031150862983,0.8070692194403535,29.32272160493316,81.75994484315058,3.1778349592121873,0,7.417941092978729,0,0,CORRIDOR
282,4.716666666666655,True,True,PROVISIONAL_FIXED_ANCHOR,False,False,0.0,True,6,6,True,True,0.6166666666666669,0.6166666666666669,0.6166666666666669,0.6333333333333336,1.35,1.35,20.142523653043746,18.730045770259014,0.0,0.0,3.5690978497706745,680,3.3857574877495105,0.7997054491899853,28.95095907178237,81.75994484315058,3.217535339661882,0,7.350930910746806,0,0,CORRIDOR
288,4.816666666666655,True,True,PROVISIONAL_FIXED_ANCHOR,False,False,0.0,True,6,6,True,True,0.6166666666666669,0.6166666666666669,0.6166666666666669,0.6333333333333336,1.35,1.35,20.142523653043746,18.730045770259014,0.0,0.0,3.507917257238519,680,3.3485055456447657,0.7982326951399117,28.581128602179,81.75994484315058,3.2424235488434974,0,7.287293635103096,0,0,CORRIDOR
294,4.9166666666666545,True,True,PROVISIONAL_FIXED_ANCHOR,False,False,0.0,True,6,6,True,True,0.6166666666666669,0.6166666666666669,0.6166666666666669,0.6333333333333336,1.35,1.35,20.142523653043746,18.730045770259014,0.0,0.0,3.4634078121007743,680,3.3055190976466613,0.8041237113402062,28.166265695372697,81.75994597867691,3.252949832177364,0,7.2268180330535055,0,0,CORRIDOR
300,5.016666666666654,True,True,PROVISIONAL_FIXED_ANCHOR,False,False,0.0,True,6,6,True,True,0.6166666666666669,0.6166666666666669,0.6166666666666669,0.6333333333333336,1.35,1.35,20.142523653043746,18.730045770259014,0.0,0.0,3.434382523489244,680,3.253350557152833,0.7967599410898379,27.90005772067914,81.75994597867691,3.2631235356183597,0,7.172115693168459,0,0,CORRIDOR
