map_case,frame,timestamp,profile_junction_detected,junction_detection_latched,braking_active,leader_speed,stationary_dwell_steps,provisional_fixed_anchor,pointcloud_ready,pointcloud_called,pointcloud_opening_count,primary_pointcloud_call_count,pointcloud_called_before_ready_count,anchor_entry_time,anchor_x_eval_only,anchor_y_eval_only,anchor_heading_local_deg,detection_to_anchor_distance_eval_only,anchor_drift_eval_only,GT_phase_eval_only,nan_inf,outside
M1_CROSS_BASELINE,354,5.916666666666651,True,True,False,0.0,6,True,True,False,2,1,0,1.35,-1.7620542030564665,-152.74884977027222,90.0,20.142523653043746,0.0,CORRIDOR,0,0
M1_CROSS_BASELINE,360,6.016666666666651,True,True,False,0.0,6,True,True,False,2,1,0,1.35,-1.7620542030564665,-152.74884977027222,90.0,20.142523653043746,0.0,CORRIDOR,0,0
M1_CROSS_BASELINE,366,6.11666666666665,True,True,False,0.0,6,True,True,False,2,1,0,1.35,-1.7620542030564665,-152.74884977027222,90.0,20.142523653043746,0.0,CORRIDOR,0,0
M1_CROSS_BASELINE,372,6.21666666666665,True,True,False,0.0,6,True,True,False,2,1,0,1.35,-1.7620542030564665,-152.74884977027222,90.0,20.142523653043746,0.0,CORRIDOR,0,0
M1_CROSS_BASELINE,378,6.3166666666666496,True,True,False,0.0,6,True,True,False,2,1,0,1.35,-1.7620542030564665,-152.74884977027222,90.0,20.142523653043746,0.0,CORRIDOR,0,0
M1_CROSS_BASELINE,384,6.416666666666649,True,True,False,0.0,6,True,True,False,2,1,0,1.35,-1.7620542030564665,-152.74884977027222,90.0,20.142523653043746,0.0,CORRIDOR,0,0
M1_CROSS_BASELINE,390,6.516666666666649,True,True,False,0.0,6,True,True,False,2,1,0,1.35,-1.7620542030564665,-152.74884977027222,90.0,20.142523653043746,0.0,CORRIDOR,0,0
M1_CROSS_BASELINE,396,6.6166666666666485,True,True,False,0.0,6,True,True,False,2,1,0,1.35,-1.7620542030564665,-152.74884977027222,90.0,20.142523653043746,0.0,CORRIDOR,0,0
M1_CROSS_BASELINE,402,6.716666666666648,True,True,False,0.0,6,True,True,False,2,1,0,1.35,-1.7620542030564665,-152.74884977027222,90.0,20.142523653043746,0.0,CORRIDOR,0,0
M1_CROSS_BASELINE,408,6.816666666666648,True,True,False,0.0,6,True,True,False,2,1,0,1.35,-1.7620542030564665,-152.74884977027222,90.0,20.142523653043746,0.0,CORRIDOR,0,0
