ground_truth_count,detected_count,count_correct,matched_openings,false_positive,false_negative,precision,recall,f1,mean_iou,min_iou,center_mae_deg,start_mae_deg,end_mae_deg,boundary_mae_deg,expected_topology,detected_topology,topology_correct,failure_reasons,seed,way_count,noise_std_m,dropout_probability,occlusion_probability,visible_boundary_ratio,anchor_x,anchor_y,anchor_yaw_deg,condition
5,5,True,5,0,0,1.0,1.0,1.0,0.5862025845595751,0.5862025845595744,5.684341886080802e-15,8.823686263497944,8.823686263497933,8.823686263497938,JUNCTION,JUNCTION,True,NONE,18,5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,baseline
5,5,True,5,0,0,1.0,1.0,1.0,0.5862025845595751,0.5862025845595744,5.684341886080802e-15,8.823686263497944,8.823686263497933,8.823686263497938,JUNCTION,JUNCTION,True,NONE,19,5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,baseline
5,5,True,5,0,0,1.0,1.0,1.0,0.5862025845595751,0.5862025845595744,5.684341886080802e-15,8.823686263497944,8.823686263497933,8.823686263497938,JUNCTION,JUNCTION,True,NONE,20,5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,baseline
5,5,True,5,0,0,1.0,1.0,1.0,0.5862025845595751,0.5862025845595744,5.684341886080802e-15,8.823686263497944,8.823686263497933,8.823686263497938,JUNCTION,JUNCTION,True,NONE,21,5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,baseline
5,5,True,5,0,0,1.0,1.0,1.0,0.5862025845595751,0.5862025845595744,5.684341886080802e-15,8.823686263497944,8.823686263497933,8.823686263497938,JUNCTION,JUNCTION,True,NONE,22,5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,baseline
5,5,True,5,0,0,1.0,1.0,1.0,0.5862025845595751,0.5862025845595744,5.684341886080802e-15,8.823686263497944,8.823686263497933,8.823686263497938,JUNCTION,JUNCTION,True,NONE,23,5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,baseline
5,5,True,5,0,0,1.0,1.0,1.0,0.5862025845595751,0.5862025845595744,5.684341886080802e-15,8.823686263497944,8.823686263497933,8.823686263497938,JUNCTION,JUNCTION,True,NONE,24,5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,baseline
5,5,True,5,0,0,1.0,1.0,1.0,0.5862025845595751,0.5862025845595744,5.684341886080802e-15,8.823686263497944,8.823686263497933,8.823686263497938,JUNCTION,JUNCTION,True,NONE,25,5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,baseline
5,5,True,5,0,0,1.0,1.0,1.0,0.5862025845595751,0.5862025845595744,5.684341886080802e-15,8.823686263497944,8.823686263497933,8.823686263497938,JUNCTION,JUNCTION,True,NONE,26,5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,baseline
2,2,True,2,0,0,1.0,1.0,1.0,0.36297384039213354,0.3555662109963757,0.25,21.74898859588859,21.24898859588859,21.49898859588859,CORRIDOR,CORRIDOR,True,low_opening_iou,7,2,0.03,0.0,0.0,1.0,0.0,0.0,0.0,noise_0.03
2,2,True,2,0,0,1.0,1.0,1.0,0.3555662109963757,0.3555662109963757,0.5,21.74898859588859,21.74898859588859,21.74898859588859,CORRIDOR,CORRIDOR,True,low_opening_iou,8,2,0.03,0.0,0.0,1.0,0.0,0.0,0.0,noise_0.03
2,2,True,2,0,0,1.0,1.0,1.0,0.35556621099637575,0.34075095220486007,0.0,21.74898859588859,21.74898859588859,21.74898859588859,CORRIDOR,CORRIDOR,True,low_opening_iou,9,2,0.03,0.0,0.0,1.0,0.0,0.0,0.0,noise_0.03
2,2,True,2,0,0,1.0,1.0,1.0,0.3555662109963757,0.3555662109963757,0.5,21.24898859588859,22.24898859588859,21.74898859588859,CORRIDOR,CORRIDOR,True,low_opening_iou,10,2,0.03,0.0,0.0,1.0,0.0,0.0,0.0,noise_0.03
2,2,True,2,0,0,1.0,1.0,1.0,0.3703814697878914,0.3703814697878914,0.0,21.24898859588859,21.24898859588859,21.24898859588859,CORRIDOR,CORRIDOR,True,low_opening_iou,11,2,0.03,0.0,0.0,1.0,0.0,0.0,0.0,noise_0.03
2,2,True,2,0,0,1.0,1.0,1.0,0.3703814697878914,0.3703814697878914,0.0,21.24898859588859,21.24898859588859,21.24898859588859,CORRIDOR,CORRIDOR,True,low_opening_iou,12,2,0.03,0.0,0.0,1.0,0.0,0.0,0.0,noise_0.03
2,2,True,2,0,0,1.0,1.0,1.0,0.3703814697878914,0.3703814697878914,0.0,21.24898859588859,21.24898859588859,21.24898859588859,CORRIDOR,CORRIDOR,True,low_opening_iou,13,2,0.03,0.0,0.0,1.0,0.0,0.0,0.0,noise_0.03
