case,candidate_id,candidate_valid,forward_ratio_W,lateral_ratio_W,opening_id,start_angle_deg,end_angle_deg,center_angle_deg,angular_width_deg,confidence,matched_GT_branch_eval_only,center_error_deg_eval_only,GT_mouth_IoU_eval_only,wall_support,tangent_support
M1_CROSS_BASELINE,F+0.300_L+0.400,True,0.3,0.4,0,175.5,-116.5,-150.5,68.0,0.8427468142254086,INCOMING,29.5,,34,True
M1_CROSS_BASELINE,F+0.300_L+0.400,True,0.3,0.4,1,-63.5,6.5,-28.5,70.0,0.8605826434681632,0,28.5,0.3864695048220564,23,True
M1_CROSS_BASELINE,F+0.300_L+0.500,False,0.3,0.5,0,-3.5,-177.5,89.5,186.0,0.9304468155297929,0,89.5,0.013823358504125182,57,True
M1_CROSS_BASELINE,F+0.300_L+0.600,False,0.3,0.6,0,15.5,-173.5,101.0,171.0,0.9473922198652336,1,11.0,0.0,40,True
M1_CROSS_BASELINE,F+0.300_L+0.700,False,0.3,0.7,0,30.5,-170.5,110.0,159.0,0.9582270847913665,1,20.0,0.0,25,True
M1_CROSS_BASELINE,F+0.400_L-0.700,False,0.4,-0.7,0,171.5,-39.5,-114.0,149.0,0.963730619992897,2,24.0,0.0,20,True
M1_CROSS_BASELINE,F+0.400_L-0.600,False,0.4,-0.6,0,175.5,-33.5,-109.0,151.0,0.9567941034746845,2,19.0,0.0,26,True
M1_CROSS_BASELINE,F+0.400_L-0.500,True,0.4,-0.5,0,-3.5,73.5,35.0,77.0,0.8886209851145461,0,35.0,0.3631346264087185,29,True
M1_CROSS_BASELINE,F+0.400_L-0.500,True,0.4,-0.5,1,106.5,-177.5,144.5,76.0,0.8709057002127532,INCOMING,35.5,,42,True
M1_CROSS_BASELINE,F+0.400_L-0.400,True,0.4,-0.4,0,-9.5,56.5,23.5,66.0,0.9005999051236304,0,23.5,0.43246530914872106,15,True
M1_CROSS_BASELINE,F+0.400_L-0.400,True,0.4,-0.4,1,123.5,-173.5,155.0,63.0,0.8701032091129299,INCOMING,25.0,,30,True
M1_CROSS_BASELINE,F+0.400_L-0.300,True,0.4,-0.3,0,-15.5,42.5,13.5,58.0,0.9756067526115457,0,13.5,0.5000647011423726,4,True
M1_CROSS_BASELINE,F+0.400_L-0.300,True,0.4,-0.3,1,142.5,-170.5,166.0,47.0,0.9251601290495561,INCOMING,14.0,,14,True
M1_CROSS_BASELINE,F+0.400_L-0.200,True,0.4,-0.2,0,-21.5,38.5,8.5,60.0,0.9784849503074196,0,8.5,0.4888795599010715,4,True
M1_CROSS_BASELINE,F+0.400_L-0.200,True,0.4,-0.2,1,151.5,-167.5,172.0,41.0,0.9377540615383995,INCOMING,8.0,,8,True
M1_CROSS_BASELINE,F+0.400_L-0.100,True,0.4,-0.1,0,-26.5,34.5,4.0,61.0,0.981660880766366,0,4.0,0.48395315856737303,4,True
M1_CROSS_BASELINE,F+0.400_L-0.100,True,0.4,-0.1,1,158.5,-163.5,177.5,38.0,0.9457167151285826,INCOMING,2.5,,6,True
M1_CROSS_BASELINE,F+0.400_L+0.000,True,0.4,0.0,0,161.5,-160.5,-179.5,38.0,0.9363853748788096,INCOMING,0.5,,6,True
M1_CROSS_BASELINE,F+0.400_L+0.000,True,0.4,0.0,1,-31.5,29.5,-1.0,61.0,0.9822192903785474,0,1.0,0.48465277186390127,4,True
M1_CROSS_BASELINE,F+0.400_L+0.100,True,0.4,0.1,0,165.5,-155.5,-175.0,39.0,0.9376685974956276,INCOMING,5.0,,6,True
M1_CROSS_BASELINE,F+0.400_L+0.100,True,0.4,0.1,1,-36.5,24.5,-6.0,61.0,0.9822106769047019,0,6.0,0.4829450938961635,4,True
M1_CROSS_BASELINE,F+0.400_L+0.200,True,0.4,0.2,0,168.5,-147.5,-169.5,44.0,0.9277268241916317,INCOMING,10.5,,12,True
M1_CROSS_BASELINE,F+0.400_L+0.200,True,0.4,0.2,1,-40.5,18.5,-11.0,59.0,0.979480694945402,0,11.0,0.4951092070594167,4,True
M1_CROSS_BASELINE,F+0.400_L+0.300,True,0.4,0.3,0,171.5,-137.5,-163.0,51.0,0.9176249584099412,INCOMING,17.0,,18,True
M1_CROSS_BASELINE,F+0.400_L+0.300,True,0.4,0.3,1,-43.5,13.5,-15.0,57.0,0.9585509585400016,0,15.0,0.5057156540323697,4,True
M1_CROSS_BASELINE,F+0.400_L+0.400,True,0.4,0.4,0,175.5,-116.5,-150.5,68.0,0.851523293861781,INCOMING,29.5,,34,True
M1_CROSS_BASELINE,F+0.400_L+0.400,True,0.4,0.4,1,-63.5,6.5,-28.5,70.0,0.8777138153189805,0,28.5,0.4044670784555454,20,True
M1_CROSS_BASELINE,F+0.400_L+0.500,False,0.4,0.5,0,28.5,-177.5,105.5,154.0,0.9498358835651215,1,15.5,0.0,31,True
M1_CROSS_BASELINE,F+0.400_L+0.600,False,0.4,0.6,0,35.5,-173.5,111.0,151.0,0.9590792662869236,1,21.0,0.0,24,True
M1_CROSS_BASELINE,F+0.400_L+0.700,False,0.4,0.7,0,41.5,-170.5,115.5,148.0,0.9658587117074937,1,25.5,0.0,18,True
M1_CROSS_BASELINE,F+0.500_L-0.700,False,0.5,-0.7,0,171.5,-47.5,-118.0,141.0,0.9674441346827314,2,28.0,0.0,15,True
M1_CROSS_BASELINE,F+0.500_L-0.600,False,0.5,-0.6,0,175.5,-43.5,-114.0,141.0,0.9631109188346147,2,24.0,0.0,19,True
M1_CROSS_BASELINE,F+0.500_L-0.500,True,0.5,-0.5,0,-3.5,73.5,35.0,77.0,0.8980284375721848,0,35.0,0.3803045576911963,25,True
M1_CROSS_BASELINE,F+0.500_L-0.500,True,0.5,-0.5,1,106.5,-177.5,144.5,76.0,0.8709057002127532,INCOMING,35.5,,42,True
