case,candidate_id,grid_stage,forward_offset,lateral_offset,forward_ratio_W,lateral_ratio_W,distance_ratio_W,candidate_valid,candidate_inside_free_space_eval,robot_footprint_walkable_eval,robot_radius,wall_clearance_eval,straight_line_path_clear_eval,valid_lidar_hits,max_range_count,plus90_axis_los_eval,minus90_axis_los_eval,forward_axis_los_eval,incoming_axis_los_eval,plus90_mouth_visible_fraction_eval,minus90_mouth_visible_fraction_eval,forward_mouth_visible_fraction_eval,plus90_detected_eval,minus90_detected_eval,forward_detected_eval,incoming_detected_eval,opening_count,outgoing_match_count_eval,outgoing_total_eval,false_opening_count_eval,lateral_false_opening_count_eval,axial_false_opening_count_eval,opening_center_error_eval,opening_IoU_eval,wall_support_count,tangent_support_count
M1_CROSS_BASELINE,F+0.100_L+0.400,COARSE_0.10W,8.4,33.6,0.1,0.4,0.41231056256176607,True,True,True,1.1199999999999999,6.637945796943534,True,285,75,False,False,True,True,0.3333333333333333,0.5714285714285714,0.0,False,False,True,True,2,1,3,0,0,0,29.0,0.3598197254636136,62,2
M1_CROSS_BASELINE,F+0.100_L+0.500,COARSE_0.10W,8.4,42.0,0.1,0.5,0.5099019513592785,False,False,False,1.1199999999999999,1.762054203056465,False,226,134,False,True,False,True,0.0,0.0,0.0,False,False,True,False,1,1,3,0,0,0,89.5,0.014231807893645946,47,1
M1_CROSS_BASELINE,F+0.100_L+0.600,COARSE_0.10W,8.4,50.4,0.1,0.6,0.6082762530298219,False,False,False,1.1199999999999999,10.162054203056464,False,223,137,False,True,False,True,0.0,0.0,0.0,False,False,True,False,1,1,3,0,0,0,89.5,0.02034499298150073,52,1
M1_CROSS_BASELINE,F+0.100_L+0.700,COARSE_0.10W,8.4,58.8,0.1,0.7,0.7071067811865475,False,False,False,1.1199999999999999,18.562054203056462,False,219,141,False,True,False,True,0.0,0.0,0.0,False,False,True,False,1,1,3,0,0,0,88.5,0.030881097032635765,57,1
M1_CROSS_BASELINE,F+0.200_L-0.700,COARSE_0.10W,16.8,-58.8,0.2,-0.7,0.7280109889280518,False,False,False,1.1199999999999999,15.037945796943532,False,226,134,True,False,False,True,0.0,0.0,0.0,False,False,True,False,1,1,3,0,0,0,88.5,0.03036123925404368,61,1
M1_CROSS_BASELINE,F+0.200_L-0.600,COARSE_0.10W,16.8,-50.4,0.2,-0.6,0.6324555320336759,False,False,False,1.1199999999999999,6.637945796943534,False,229,131,True,False,False,True,0.0,0.0,0.0,False,False,True,False,1,1,3,0,0,0,89.0,0.020492821611788992,56,1
M1_CROSS_BASELINE,F+0.200_L-0.500,COARSE_0.10W,16.8,-42.0,0.2,-0.5,0.5385164807134504,True,True,True,1.1199999999999999,1.762054203056465,True,283,77,False,False,True,True,0.6666666666666666,0.38095238095238093,0.0,False,False,True,True,2,1,3,0,0,0,38.0,0.3087351173920772,88,2
M1_CROSS_BASELINE,F+0.200_L-0.400,COARSE_0.10W,16.8,-33.6,0.2,-0.4,0.447213595499958,True,True,True,1.1199999999999999,10.162054203056464,True,282,78,False,False,True,True,0.6666666666666666,0.42857142857142855,0.0,False,False,True,True,2,1,3,0,0,0,24.0,0.4010942218920403,50,2
M1_CROSS_BASELINE,F+0.200_L-0.300,COARSE_0.10W,16.8,-25.2,0.2,-0.3,0.3605551275463989,True,True,True,1.1199999999999999,18.562054203056466,True,281,79,False,False,True,True,0.6666666666666666,0.47619047619047616,0.0,False,False,True,True,2,1,3,0,0,0,12.0,0.5181010314370325,19,2
M1_CROSS_BASELINE,F+0.200_L-0.200,COARSE_0.10W,16.8,-16.8,0.2,-0.2,0.282842712474619,True,True,True,1.1199999999999999,26.962054203056464,True,279,81,False,False,True,True,0.6190476190476191,0.5238095238095238,0.0,False,False,True,True,2,1,3,0,0,0,7.5,0.5129507550576056,12,2
M1_CROSS_BASELINE,F+0.200_L-0.100,COARSE_0.10W,16.8,-8.4,0.2,-0.1,0.223606797749979,True,True,True,1.1199999999999999,35.362054203056466,True,280,80,False,False,True,True,0.6190476190476191,0.5714285714285714,0.0,False,False,True,True,2,1,3,0,0,0,3.5,0.515699718230066,10,2
M1_CROSS_BASELINE,F+0.200_L+0.000,COARSE_0.10W,16.8,0.0,0.2,0.0,0.2,True,True,True,1.1199999999999999,40.237945796943535,True,280,80,False,False,True,True,0.6190476190476191,0.6190476190476191,0.0,False,False,True,True,2,1,3,0,0,0,0.5,0.5163218472386077,10,2
