case_id,frame,time,side_walls_valid,parallel_error_deg,current_width,current_offset,current_orientation,stable_width,stable_offset,stable_orientation,stable_update_count,current_model_valid,stable_model_initialized,width_change_from_previous_valid,orientation_change_from_previous_valid,offset_change_from_previous_valid,consecutive_valid_count,valid_ratio_existing_init_window,expected_profile_source,readiness_state,readiness_reason,corridor_model_ready,semantic_detector_state,open_candidate_count,opening_group_count,junction_detected_raw,junction_detected_gated_eval,readiness_rising,false_readiness_eval_only,opening_visible_eval_only
M0_NEGATIVE_CONTROL,120,2.0166666666666644,True,0.0,84.0,1.754542991423449,0.0,84.0,1.754542991423449,0.0,20,True,True,0.0,0.0,0.003970266419379698,21,1.0,CURRENT_MODEL,MODEL_READY,EXISTING_STABLE_MODEL_INITIALIZED,True,JUNCTION_CLEAR,0,0,False,False,False,False,False
M0_NEGATIVE_CONTROL,126,2.116666666666664,True,0.0,84.00000000000001,1.7562140871531184,0.0,84.0,1.7562140871531184,0.0,21,True,True,1.4210854715202004e-14,0.0,0.0016710957296695028,22,1.0,CURRENT_MODEL,MODEL_READY,EXISTING_STABLE_MODEL_INITIALIZED,True,JUNCTION_CLEAR,0,0,False,False,False,False,False
M0_NEGATIVE_CONTROL,132,2.2166666666666637,True,0.0,84.0,1.7571524826858251,0.0,84.0,1.7571524826858251,0.0,22,True,True,-1.4210854715202004e-14,0.0,0.0009383955327066928,23,1.0,CURRENT_MODEL,MODEL_READY,EXISTING_STABLE_MODEL_INITIALIZED,True,JUNCTION_CLEAR,0,0,False,False,False,False,False
M0_NEGATIVE_CONTROL,138,2.3166666666666633,True,0.0,84.0,1.758057390757255,0.0,84.0,1.758057390757255,0.0,23,True,True,0.0,0.0,0.0009049080714298441,24,1.0,CURRENT_MODEL,MODEL_READY,EXISTING_STABLE_MODEL_INITIALIZED,True,JUNCTION_CLEAR,0,0,False,False,False,False,False
M0_NEGATIVE_CONTROL,144,2.416666666666663,True,0.0,84.00000000000001,1.7592804768877386,0.0,84.0,1.7592804768877386,0.0,24,True,True,1.4210854715202004e-14,0.0,0.0012230861304836083,25,1.0,CURRENT_MODEL,MODEL_READY,EXISTING_STABLE_MODEL_INITIALIZED,True,JUNCTION_CLEAR,0,0,False,False,False,False,False
M0_NEGATIVE_CONTROL,150,2.5166666666666626,True,0.0,84.0,1.7618538538791846,0.0,84.0,1.7618538538791846,0.0,25,True,True,-1.4210854715202004e-14,0.0,0.002573376991445997,26,1.0,CURRENT_MODEL,MODEL_READY,EXISTING_STABLE_MODEL_INITIALIZED,True,JUNCTION_CLEAR,0,0,False,False,False,False,False
M0_NEGATIVE_CONTROL,156,2.6166666666666623,True,0.0,84.0,1.7657299841752412,0.0,84.0,1.7657299841752412,0.0,26,True,True,0.0,0.0,0.0038761302960566013,27,1.0,CURRENT_MODEL,MODEL_READY,EXISTING_STABLE_MODEL_INITIALIZED,True,JUNCTION_CLEAR,0,0,False,False,False,False,False
M0_NEGATIVE_CONTROL,162,2.716666666666662,True,0.0,84.0,1.769881149107249,0.0,84.0,1.769881149107249,0.0,27,True,True,0.0,0.0,0.004151164932007845,28,1.0,CURRENT_MODEL,MODEL_READY,EXISTING_STABLE_MODEL_INITIALIZED,True,JUNCTION_CLEAR,0,0,False,False,False,False,False
M0_NEGATIVE_CONTROL,168,2.8166666666666615,True,0.0,84.0,1.7729174387405742,0.0,84.0,1.7729174387405742,0.0,28,True,True,0.0,0.0,0.00303628963332514,29,1.0,CURRENT_MODEL,MODEL_READY,EXISTING_STABLE_MODEL_INITIALIZED,True,JUNCTION_CLEAR,0,0,False,False,False,False,False
M0_NEGATIVE_CONTROL,174,2.916666666666661,True,0.0,84.0,1.774907689836617,0.0,84.0,1.774907689836617,0.0,29,True,True,0.0,0.0,0.0019902510960427833,30,1.0,CURRENT_MODEL,MODEL_READY,EXISTING_STABLE_MODEL_INITIALIZED,True,JUNCTION_CLEAR,0,0,False,False,False,False,False
M0_NEGATIVE_CONTROL,180,3.016666666666661,True,0.0,84.00000000000001,1.7763053486122544,0.0,84.0,1.7763053486122544,0.0,30,True,True,1.4210854715202004e-14,0.0,0.001397658775637467,31,1.0,CURRENT_MODEL,MODEL_READY,EXISTING_STABLE_MODEL_INITIALIZED,True,JUNCTION_CLEAR,0,0,False,False,False,False,False
