map_case,frame,timestamp,old_profile_detected,new_55pct_detected,old_open_count,new_open_support_count,new_opening_count,comparison_only
M1_PRE_CORRIDOR_55PCT,342,5.716666666666652,False,True,0,195,2,True
M1_PRE_CORRIDOR_55PCT,348,5.816666666666651,False,True,0,187,2,True
M1_PRE_CORRIDOR_55PCT,354,5.916666666666651,False,True,0,179,2,True
M1_PRE_CORRIDOR_55PCT,360,6.016666666666651,False,True,0,172,2,True
M1_PRE_CORRIDOR_55PCT,366,6.11666666666665,False,True,0,164,2,True
M1_PRE_CORRIDOR_55PCT,372,6.21666666666665,False,True,0,158,2,True
M1_PRE_CORRIDOR_55PCT,378,6.3166666666666496,False,True,0,152,2,True
M1_PRE_CORRIDOR_55PCT,384,6.416666666666649,False,True,0,146,2,True
M1_PRE_CORRIDOR_55PCT,390,6.516666666666649,False,True,0,141,2,True
M1_PRE_CORRIDOR_55PCT,396,6.6166666666666485,False,True,0,136,2,True
M1_PRE_CORRIDOR_55PCT,402,6.716666666666648,False,True,0,113,3,True
M1_PRE_CORRIDOR_55PCT,408,6.816666666666648,False,True,0,90,3,True
M1_PRE_CORRIDOR_55PCT,414,6.916666666666647,False,True,0,75,1,True
M1_PRE_CORRIDOR_55PCT,420,7.016666666666647,False,True,0,71,1,True
M1_PRE_CORRIDOR_55PCT,426,7.116666666666647,False,True,0,70,1,True
M1_PRE_CORRIDOR_55PCT,432,7.216666666666646,False,True,0,67,1,True
