frame,timestamp,gap_id,endpoint_a,endpoint_b,gap_center_local,gap_width,gap_width_over_W_hat,free_continuation,accepted,rejection_reason,matched_branch_eval_only,endpoint_error_eval_only,center_error_eval_only,same_lateral_side_runtime,runtime_candidate_created,runtime_rejection_reason
174,2.916666666666661,0,1,2,"[55.11747044695284, -44.14442518150133]",85.13364310737519,1.013495751278276,54.25767036727284,True,NONE,LEFT,3.4992612517225714,2.3706155926319266,True,True,NONE
174,2.916666666666661,1,1,5,"[56.05642497321048, -1.7749076898365566]",120.93986930976223,1.439760348925741,93.91548272397617,True,NONE,NONE,42.66018774939634,40.01277703018572,False,False,ENDPOINTS_OPPOSITE_CORRIDOR_SIDES
174,2.916666666666661,2,1,10,"[12.425148837901089, -1.7749076898365743]",84.00038465186142,1.0000045791888266,137.4487203460589,True,NONE,NONE,59.845635426043,58.45065705551539,False,False,ENDPOINTS_OPPOSITE_CORRIDOR_SIDES
174,2.916666666666661,3,2,5,"[98.62164262808494, -2.144425181501294]",84.75984068127705,1.0090457223961553,51.35504597790742,True,NONE,FORWARD,4.370378961481691,3.5953580957998565,False,False,ENDPOINTS_OPPOSITE_CORRIDOR_SIDES
174,2.916666666666661,4,2,10,"[54.99036649277555, -2.144425181501312]",120.29647271382802,1.4321008656408099,94.96783698264414,True,NONE,NONE,42.92418840285058,39.63052061409824,False,False,ENDPOINTS_OPPOSITE_CORRIDOR_SIDES
174,2.916666666666661,5,5,10,"[55.929321019033196, 40.22509231016346]",87.26255227061878,1.0388399079835569,51.06233156630681,True,NONE,RIGHT,4.168278567127083,2.1866529577141165,True,True,NONE
180,3.016666666666661,0,1,2,"[50.860506090133, -44.11652370673552]",84.70524166331822,1.0083957340871217,55.295242353993785,True,NONE,LEFT,3.3174340294307516,2.361399916953724,True,True,NONE
180,3.016666666666661,1,1,5,"[51.08113019818452, -1.531314515290216]",119.95005766907454,1.427976877012792,98.89592201723411,True,NONE,NONE,42.70114103184848,40.24856266623083,False,False,ENDPOINTS_OPPOSITE_CORRIDOR_SIDES
180,3.016666666666661,2,1,9,"[8.16397298378418, -1.7763053486120555]",84.00283846246722,1.0000337912198478,141.6450185175869,True,NONE,NONE,59.66696941527408,58.27645842757297,False,False,ENDPOINTS_OPPOSITE_CORRIDOR_SIDES
180,3.016666666666661,3,2,5,"[93.43238452174714, -1.871532873413706]",85.17156137763853,1.0139471592576015,56.54887313297992,True,NONE,FORWARD,3.881790673708955,2.889023332535038,False,False,ENDPOINTS_OPPOSITE_CORRIDOR_SIDES
180,3.016666666666661,4,2,9,"[50.51522730734679, -2.1165237067355456]",120.26118292974031,1.4316807491635752,99.44045231102153,True,NONE,NONE,42.91320357154749,39.659792765391906,False,False,ENDPOINTS_OPPOSITE_CORRIDOR_SIDES
180,3.016666666666661,5,5,9,"[50.735851415398315, 40.468685484709766]",85.83571293754055,1.0218537254469113,54.18437637038494,True,NONE,RIGHT,3.681829700561315,2.2530944113586457,True,True,NONE
